hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"<$50,000 per year",39500,None,Employed full time,Do all of your work from home,No,No,Yes,49
"$50,000+ per year",114000,None,Employed full time,Do all of your work from home,No,No,No,31
"$50,000+ per year",59000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,54
"<$50,000 per year",10500,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,40
"$50,000+ per year",151000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,56
"$50,000+ per year",139000,None,Employed full time,Do all of your work at a workplace outside of your home,Don’t know/Refused/Web blank,No,No,82
"$50,000+ per year",104000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,64
"$50,000+ per year",189000,None,Not employed at this time,NA,Yes,No,NA,49
"$50,000+ per year",127000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,26
"$50,000+ per year",96000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,35
"$50,000+ per year",129000,None,Not employed at this time,NA,No,No,NA,57
"<$50,000 per year",48000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,61
"$50,000+ per year",201000,None,Not employed at this time,NA,No,No,NA,54
"$50,000+ per year",216000,None,Not employed at this time,NA,Yes,No,NA,48
"<$50,000 per year",3000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,41
"$50,000+ per year",188000,None,Not employed at this time,NA,Yes,No,NA,47
"<$50,000 per year",30500,None,Employed part-time,Do all of your work from home,Yes,No,No,55
"<$50,000 per year",8500,None,Employed full time,Do all of your work from home,Yes,No,No,18
"$50,000+ per year",57000,None,Not employed at this time,NA,Yes,No,NA,38
"$50,000+ per year",164000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,40
"$50,000+ per year",90000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,60
"<$50,000 per year",39500,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,55
"$50,000+ per year",131000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,59
"$50,000+ per year",116000,None,Not employed at this time,NA,Yes,No,NA,78
"<$50,000 per year",0,None,Not employed at this time,NA,No,No,NA,32
"$50,000+ per year",88000,One or more,Not employed at this time,NA,Yes,No,NA,35
"<$50,000 per year",35000,None,Not employed at this time,NA,No,No,NA,43
"<$50,000 per year",12000,One or more,Not employed at this time,NA,No,No,NA,48
"$50,000+ per year",63000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,40
"<$50,000 per year",4500,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,56
"<$50,000 per year",47000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,54
"$50,000+ per year",120000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,43
"$50,000+ per year",114000,None,Not employed at this time,NA,Yes,No,NA,64
"$50,000+ per year",94000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,20
"$50,000+ per year",65000,None,Employed full time,Do all of your work from home,No,No,No,45
"<$50,000 per year",36500,One or more,Not employed at this time,NA,No,No,NA,47
"<$50,000 per year",31000,One or more,Employed full time,Do all of your work from home,No,No,Yes,73
"<$50,000 per year",40000,None,Employed full time,Do all of your work from home,No,No,No,20
"$50,000+ per year",79000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,30
"<$50,000 per year",9500,One or more,Not employed at this time,NA,No,Yes,NA,33
"$50,000+ per year",127000,None,Not employed at this time,NA,No,No,NA,62
"$50,000+ per year",108000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,25
"$50,000+ per year",84000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,51
"<$50,000 per year",44000,None,Not employed at this time,NA,No,No,NA,19
"<$50,000 per year",5000,None,Not employed at this time,NA,Yes,No,NA,47
"<$50,000 per year",32000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,49
"<$50,000 per year",1500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,37
"$50,000+ per year",85000,None,Not employed at this time,NA,Yes,No,NA,22
"$50,000+ per year",116000,None,Not employed at this time,NA,Yes,No,NA,42
"<$50,000 per year",26000,None,Not employed at this time,NA,Yes,No,NA,62
"$50,000+ per year",127000,None,Not employed at this time,NA,Yes,No,NA,39
"<$50,000 per year",31500,One or more,Not employed at this time,NA,Yes,No,NA,47
"<$50,000 per year",41500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,58
"<$50,000 per year",44000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,87
"$50,000+ per year",216000,None,Not employed at this time,NA,No,No,NA,58
"$50,000+ per year",101000,None,Employed full time,Do all of your work from home,Yes,No,Yes,33
"$50,000+ per year",115000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,26
"$50,000+ per year",243000,None,Not employed at this time,NA,Yes,No,NA,48
"<$50,000 per year",11000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,56
"$50,000+ per year",229000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,61
"$50,000+ per year",95000,None,Not employed at this time,NA,Yes,No,NA,53
"$50,000+ per year",249000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,58
"<$50,000 per year",42500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,37
"$50,000+ per year",91000,None,Employed full time,Do all of your work from home,Yes,No,No,55
"$50,000+ per year",87000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,66
"$50,000+ per year",140000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,64
"$50,000+ per year",67000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,26
"<$50,000 per year",45000,One or more,Not employed at this time,NA,Yes,No,NA,52
"$50,000+ per year",136000,None,Employed full time,Do all of your work from home,Yes,No,No,43
"<$50,000 per year",7000,One or more,Not employed at this time,NA,No,Yes,NA,47
"$50,000+ per year",67000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,61
"<$50,000 per year",46000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,57
"$50,000+ per year",161000,None,Not employed at this time,NA,Yes,No,NA,38
"$50,000+ per year",174000,None,Not employed at this time,NA,No,No,NA,36
"<$50,000 per year",43500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,56
"$50,000+ per year",187000,None,Not employed at this time,NA,Yes,No,NA,45
"<$50,000 per year",4000,None,Not employed at this time,NA,No,No,NA,33
"<$50,000 per year",38000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,69
"<$50,000 per year",26500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,53
"$50,000+ per year",146000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,69
"<$50,000 per year",49000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,51
"<$50,000 per year",15500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,50
"$50,000+ per year",60000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,24
"<$50,000 per year",23000,None,Not employed at this time,NA,No,No,NA,44
"<$50,000 per year",32000,One or more,Not employed at this time,NA,No,Yes,NA,58
"<$50,000 per year",4000,One or more,Not employed at this time,NA,Yes,Yes,NA,34
"<$50,000 per year",38000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,33
"<$50,000 per year",44000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,47
"<$50,000 per year",48000,None,Not employed at this time,NA,No,No,NA,34
"$50,000+ per year",108000,None,Not employed at this time,NA,No,No,NA,38
"<$50,000 per year",500,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,60
"$50,000+ per year",63000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,48
"<$50,000 per year",37500,One or more,Not employed at this time,NA,No,Yes,NA,59
"<$50,000 per year",21500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,30
"$50,000+ per year",133000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,53
"$50,000+ per year",237000,None,Not employed at this time,NA,Yes,No,NA,63
"$50,000+ per year",147000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,57
"$50,000+ per year",143000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,71
"$50,000+ per year",189000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,36
"$50,000+ per year",163000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,Yes,54
"$50,000+ per year",142000,None,Not employed at this time,NA,No,No,NA,20
"$50,000+ per year",167000,None,Not employed at this time,NA,No,No,NA,19
"$50,000+ per year",53000,None,Not employed at this time,NA,No,No,NA,40
"<$50,000 per year",23500,One or more,Not employed at this time,NA,No,No,NA,66
"<$50,000 per year",46000,None,Not employed at this time,NA,Yes,No,NA,50
"<$50,000 per year",43000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,46
"<$50,000 per year",13500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,36
"$50,000+ per year",104000,None,Not employed at this time,NA,Yes,No,NA,32
"<$50,000 per year",14000,One or more,Not employed at this time,NA,No,No,NA,29
"$50,000+ per year",167000,None,Employed part-time,Do all of your work from home,No,No,No,40
"<$50,000 per year",40500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,61
"$50,000+ per year",169000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,45
"$50,000+ per year",94000,None,Employed full time,Do all of your work from home,Yes,No,No,31
"<$50,000 per year",47000,One or more,Not employed at this time,NA,No,No,NA,30
"$50,000+ per year",218000,None,Not employed at this time,NA,Yes,No,NA,42
"$50,000+ per year",232000,None,Employed full time,Do all of your work from home,No,No,No,39
"$50,000+ per year",50000,None,Not employed at this time,NA,No,No,NA,19
"<$50,000 per year",41500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,38
"$50,000+ per year",168000,None,Not employed at this time,NA,Yes,No,NA,65
"$50,000+ per year",73000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,32
"<$50,000 per year",41000,One or more,Not employed at this time,NA,No,No,NA,38
"$50,000+ per year",66000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,21
"<$50,000 per year",14500,None,Not employed at this time,NA,No,No,NA,38
"<$50,000 per year",41500,One or more,Not employed at this time,NA,No,Yes,NA,35
"$50,000+ per year",117000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,39
"<$50,000 per year",31000,None,Employed part-time,Do all of your work from home,Yes,No,No,47
"<$50,000 per year",38000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,42
"$50,000+ per year",104000,None,Not employed at this time,NA,Yes,No,NA,35
"<$50,000 per year",13500,One or more,Not employed at this time,NA,No,Yes,NA,70
"<$50,000 per year",14500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,53
"<$50,000 per year",21000,One or more,Not employed at this time,NA,Yes,Yes,NA,45
"$50,000+ per year",155000,None,Not employed at this time,NA,Yes,No,NA,42
"$50,000+ per year",166000,None,Employed full time,Do all of your work from home,Yes,No,No,54
"$50,000+ per year",66000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,72
"<$50,000 per year",8500,One or more,Not employed at this time,NA,No,Yes,NA,57
"<$50,000 per year",37000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,29
"$50,000+ per year",206000,One or more,Not employed at this time,NA,No,Yes,NA,47
"<$50,000 per year",34500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,55
"$50,000+ per year",102000,None,Not employed at this time,NA,No,No,NA,31
"$50,000+ per year",92000,None,Not employed at this time,NA,Yes,No,NA,44
"$50,000+ per year",138000,One or more,Not employed at this time,NA,Yes,Yes,NA,46
"$50,000+ per year",140000,One or more,Not employed at this time,NA,Yes,No,NA,45
"$50,000+ per year",142000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,50
"<$50,000 per year",7500,None,Not employed at this time,NA,No,No,NA,31
"$50,000+ per year",53000,None,Not employed at this time,NA,No,No,NA,28
"<$50,000 per year",37000,None,Not employed at this time,NA,No,No,NA,50
"$50,000+ per year",93000,None,Employed full time,Do all of your work at a workplace outside of your home,Don’t know/Refused/Web blank,No,No,76
"<$50,000 per year",41500,One or more,Not employed at this time,NA,No,No,NA,21
"<$50,000 per year",27000,One or more,Not employed at this time,NA,Yes,No,NA,60
"<$50,000 per year",12500,None,Not employed at this time,NA,Yes,No,NA,62
"$50,000+ per year",93000,One or more,Employed full time,Do all of your work from home,No,Yes,Yes,32
"<$50,000 per year",46000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,58
"<$50,000 per year",17500,None,Not employed at this time,NA,No,No,NA,64
"<$50,000 per year",13500,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,37
"<$50,000 per year",43000,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,64
"<$50,000 per year",48000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,30
"<$50,000 per year",14500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,24
"$50,000+ per year",53000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,43
"<$50,000 per year",40500,None,Not employed at this time,NA,Yes,No,NA,47
"$50,000+ per year",99000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,48
"<$50,000 per year",38500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,32
"<$50,000 per year",32500,One or more,Not employed at this time,NA,Yes,Yes,NA,70
"$50,000+ per year",57000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,39
"$50,000+ per year",123000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,57
"<$50,000 per year",6500,None,Not employed at this time,NA,No,No,NA,46
"$50,000+ per year",72000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,Yes,34
"<$50,000 per year",14000,None,Not employed at this time,NA,Yes,No,NA,64
"<$50,000 per year",9500,None,Not employed at this time,NA,Yes,No,NA,43
"$50,000+ per year",173000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,45
"$50,000+ per year",148000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,30
"$50,000+ per year",250000,One or more,Not employed at this time,NA,Yes,No,NA,34
"<$50,000 per year",47500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,39
"<$50,000 per year",5000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,34
"$50,000+ per year",128000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,64
"$50,000+ per year",163000,None,Not employed at this time,NA,Yes,No,NA,26
"$50,000+ per year",52000,None,Not employed at this time,NA,Yes,No,NA,52
"$50,000+ per year",90000,None,Not employed at this time,NA,No,No,NA,61
"$50,000+ per year",195000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,56
"$50,000+ per year",213000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,67
"$50,000+ per year",212000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,32
"$50,000+ per year",146000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,32
"$50,000+ per year",82000,None,Not employed at this time,NA,No,No,NA,45
"<$50,000 per year",46500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,37
"$50,000+ per year",151000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,65
"$50,000+ per year",179000,None,Not employed at this time,NA,Yes,No,NA,43
"<$50,000 per year",44500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,36
"<$50,000 per year",13000,One or more,Employed part-time,Do all of your work from home,No,Yes,No,68
"<$50,000 per year",15000,None,Not employed at this time,NA,Yes,No,NA,57
"$50,000+ per year",158000,None,Employed full time,Do all of your work at a workplace outside of your home,Don’t know/Refused/Web blank,No,No,53
"<$50,000 per year",36500,One or more,Not employed at this time,NA,Don’t know/Refused/Web blank,Yes,NA,41
"$50,000+ per year",82000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,31
"<$50,000 per year",6500,One or more,Not employed at this time,NA,No,Yes,NA,41
"<$50,000 per year",47000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,24
"$50,000+ per year",197000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,61
"<$50,000 per year",21500,One or more,Not employed at this time,NA,No,Yes,NA,57
"$50,000+ per year",159000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,57
"$50,000+ per year",87000,None,Not employed at this time,NA,Yes,No,NA,45
"$50,000+ per year",101000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,40
"$50,000+ per year",124000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,35
"<$50,000 per year",35000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,20
"<$50,000 per year",19500,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,27
"$50,000+ per year",93000,None,Employed part-time,Do all of your work from home,Yes,No,No,54
"$50,000+ per year",84000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,22
"$50,000+ per year",103000,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,22
"$50,000+ per year",51000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,37
"<$50,000 per year",48500,None,Employed full time,Do all of your work from home,Yes,No,No,35
"<$50,000 per year",18000,One or more,Employed full time,Do all of your work from home,Yes,No,Yes,45
"<$50,000 per year",41000,One or more,Not employed at this time,NA,Yes,Yes,NA,48
"$50,000+ per year",138000,None,Employed full time,Do all of your work from home,No,No,No,58
"<$50,000 per year",48500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,20
"$50,000+ per year",50000,One or more,Not employed at this time,NA,Yes,Yes,NA,21
"$50,000+ per year",237000,None,Employed full time,Do all of your work from home,Yes,No,No,24
"<$50,000 per year",4000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,47
"<$50,000 per year",6000,None,Not employed at this time,NA,No,No,NA,42
"$50,000+ per year",77000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,48
"<$50,000 per year",45500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,43
"<$50,000 per year",41500,None,Not employed at this time,NA,Yes,No,NA,69
"<$50,000 per year",22000,One or more,Not employed at this time,NA,No,No,NA,40
"<$50,000 per year",17500,One or more,Not employed at this time,NA,Yes,Yes,NA,46
"<$50,000 per year",45500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,30
"$50,000+ per year",78000,One or more,Not employed at this time,NA,No,Yes,NA,61
"<$50,000 per year",49500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,30
"<$50,000 per year",33500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,20
"<$50,000 per year",46000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,Yes,24
"<$50,000 per year",41500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,49
"<$50,000 per year",44000,One or more,Not employed at this time,NA,Yes,Yes,NA,50
"$50,000+ per year",51000,None,Not employed at this time,NA,Yes,No,NA,46
"$50,000+ per year",145000,None,Not employed at this time,NA,No,No,NA,35
"<$50,000 per year",43500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"$50,000+ per year",170000,None,Not employed at this time,NA,No,No,NA,25
"<$50,000 per year",12000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,47
"<$50,000 per year",44500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,31
"<$50,000 per year",25000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,54
"<$50,000 per year",42000,One or more,Not employed at this time,NA,Yes,No,NA,42
"$50,000+ per year",127000,None,Not employed at this time,NA,No,No,NA,46
"<$50,000 per year",38500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,39
"<$50,000 per year",37000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,55
"$50,000+ per year",950000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,38
"$50,000+ per year",173000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,74
"$50,000+ per year",77000,One or more,Not employed at this time,NA,Yes,Yes,NA,53
"<$50,000 per year",1000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,36
"$50,000+ per year",69000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,18
"$50,000+ per year",96000,None,Not employed at this time,NA,No,No,NA,67
"$50,000+ per year",94000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,41
"$50,000+ per year",141000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,35
"$50,000+ per year",160000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,21
"<$50,000 per year",11500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,40
"$50,000+ per year",69000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,38
"$50,000+ per year",137000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,30
"$50,000+ per year",163000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,30
"$50,000+ per year",138000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,51
"$50,000+ per year",173000,None,Not employed at this time,NA,No,No,NA,40
"<$50,000 per year",23000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,43
"<$50,000 per year",12500,One or more,Employed full time,Do all of your work from home,No,No,No,47
"$50,000+ per year",142000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,20
"<$50,000 per year",27000,None,Employed full time,Do all of your work from home,No,No,No,41
"<$50,000 per year",40500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"<$50,000 per year",40500,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,67
"<$50,000 per year",36000,One or more,Not employed at this time,NA,Yes,No,NA,31
"<$50,000 per year",35500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,19
"<$50,000 per year",42000,None,Employed part-time,Do all of your work from home,Yes,No,No,51
"$50,000+ per year",145000,None,Not employed at this time,NA,Yes,No,NA,33
"$50,000+ per year",57000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,37
"<$50,000 per year",43500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,39
"<$50,000 per year",27000,None,Not employed at this time,NA,Yes,No,NA,35
"$50,000+ per year",108000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,53
"$50,000+ per year",108000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,38
"<$50,000 per year",37000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,27
"<$50,000 per year",11500,One or more,Not employed at this time,NA,No,No,NA,24
"$50,000+ per year",82000,One or more,Not employed at this time,NA,Yes,Yes,NA,56
"<$50,000 per year",13000,One or more,Not employed at this time,NA,Yes,No,NA,44
"<$50,000 per year",24500,None,Not employed at this time,NA,No,No,NA,37
"$50,000+ per year",89000,None,Not employed at this time,NA,Yes,No,NA,39
"$50,000+ per year",750000,None,Not employed at this time,NA,No,No,NA,37
"<$50,000 per year",4000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,18
"<$50,000 per year",48000,None,Not employed at this time,NA,No,No,NA,18
"$50,000+ per year",73000,None,Not employed at this time,NA,Yes,No,NA,70
"$50,000+ per year",141000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,35
"<$50,000 per year",25000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,32
"<$50,000 per year",18000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,19
"$50,000+ per year",74000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,55
"$50,000+ per year",86000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,26
