hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"$50,000+ per year",140000,One or more,Not employed at this time,NA,No,No,NA,55
"<$50,000 per year",10000,None,Employed full time,Do all of your work from home,No,No,No,23
"$50,000+ per year",64000,None,Employed full time,Do all of your work from home,No,No,No,20
"<$50,000 per year",44000,One or more,Not employed at this time,NA,Yes,No,NA,47
"$50,000+ per year",94000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,58
"<$50,000 per year",1000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,21
"$50,000+ per year",160000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,67
"<$50,000 per year",11000,One or more,Not employed at this time,NA,Yes,No,NA,58
"$50,000+ per year",63000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,56
"<$50,000 per year",3500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,39
"$50,000+ per year",117000,None,Not employed at this time,NA,No,No,NA,66
"$50,000+ per year",84000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,41
"$50,000+ per year",143000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,71
"<$50,000 per year",18000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,25
"$50,000+ per year",143000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,20
"<$50,000 per year",2500,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,20
"$50,000+ per year",113000,None,Not employed at this time,NA,No,No,NA,39
"$50,000+ per year",137000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,18
"<$50,000 per year",40000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,34
"$50,000+ per year",156000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,54
"<$50,000 per year",29500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,67
"$50,000+ per year",450000,None,Not employed at this time,NA,No,No,NA,51
"$50,000+ per year",162000,None,Not employed at this time,NA,No,No,NA,38
"<$50,000 per year",44000,None,Employed full time,Do all of your work from home,No,No,No,45
"<$50,000 per year",45000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,31
"<$50,000 per year",41000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,59
"$50,000+ per year",221000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,41
"$50,000+ per year",116000,None,Not employed at this time,NA,No,No,NA,85
"$50,000+ per year",249000,None,Not employed at this time,NA,Yes,No,NA,56
"<$50,000 per year",33000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,66
"<$50,000 per year",44000,One or more,Not employed at this time,NA,No,No,NA,30
"<$50,000 per year",23500,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,65
"$50,000+ per year",106000,None,Not employed at this time,NA,No,No,NA,31
"$50,000+ per year",71000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,37
"$50,000+ per year",62000,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,51
"<$50,000 per year",7000,One or more,Not employed at this time,NA,No,Yes,NA,55
"$50,000+ per year",50000,None,Not employed at this time,NA,No,No,NA,32
"$50,000+ per year",66000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,83
"<$50,000 per year",1000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,63
"<$50,000 per year",27000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,47
"$50,000+ per year",122000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,49
"$50,000+ per year",52000,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,48
"<$50,000 per year",14500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,55
"<$50,000 per year",48000,One or more,Not employed at this time,NA,Yes,Yes,NA,22
"$50,000+ per year",147000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,Yes,56
"<$50,000 per year",36500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,31
"<$50,000 per year",8000,One or more,Employed full time,Do all of your work from home,No,Yes,No,56
"$50,000+ per year",52000,None,Not employed at this time,NA,Yes,No,NA,58
"<$50,000 per year",6500,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,35
"$50,000+ per year",142000,None,Not employed at this time,NA,Yes,No,NA,18
"$50,000+ per year",211000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,24
"<$50,000 per year",14500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,34
"<$50,000 per year",3000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,31
"<$50,000 per year",2000,None,Not employed at this time,NA,No,No,NA,69
"$50,000+ per year",153000,None,Employed full time,Do all of your work from home,Yes,No,No,72
"<$50,000 per year",35500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,67
"<$50,000 per year",30000,One or more,Employed full time,Do all of your work from home,No,No,Yes,38
"$50,000+ per year",184000,None,Not employed at this time,NA,No,No,NA,41
"$50,000+ per year",194000,None,Not employed at this time,NA,No,No,NA,45
"<$50,000 per year",42500,One or more,Not employed at this time,NA,Yes,Yes,NA,31
"<$50,000 per year",47000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,67
"<$50,000 per year",49000,One or more,Employed part-time,Do all of your work from home,Yes,Yes,No,20
"$50,000+ per year",141000,None,Employed full time,Do all of your work from home,Yes,No,No,70
"<$50,000 per year",44000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,49
"$50,000+ per year",73000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,43
"$50,000+ per year",77000,One or more,Not employed at this time,NA,No,Yes,NA,49
"$50,000+ per year",120000,None,Not employed at this time,NA,No,No,NA,49
"<$50,000 per year",24000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,32
"<$50,000 per year",32000,One or more,Not employed at this time,NA,Yes,Yes,NA,41
"$50,000+ per year",229000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,57
"$50,000+ per year",77000,None,Not employed at this time,NA,No,No,NA,67
"$50,000+ per year",234000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,61
"<$50,000 per year",47500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,37
"$50,000+ per year",91000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,64
"$50,000+ per year",61000,None,Not employed at this time,NA,Yes,No,NA,70
"$50,000+ per year",69000,None,Not employed at this time,NA,No,No,NA,59
"$50,000+ per year",160000,One or more,Not employed at this time,NA,Yes,No,NA,64
"<$50,000 per year",22500,One or more,Not employed at this time,NA,No,Yes,NA,58
"$50,000+ per year",129000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,68
"<$50,000 per year",17000,One or more,Not employed at this time,NA,No,Yes,NA,68
"$50,000+ per year",102000,None,Not employed at this time,NA,No,No,NA,37
"$50,000+ per year",144000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,26
"$50,000+ per year",98000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,Yes,35
"<$50,000 per year",48000,One or more,Employed part-time,Do all of your work from home,Yes,No,No,67
"$50,000+ per year",96000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,35
"<$50,000 per year",41500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,60
"$50,000+ per year",104000,None,Employed full time,Do all of your work at a workplace outside of your home,Don’t know/Refused/Web blank,No,No,55
"$50,000+ per year",53000,None,Not employed at this time,NA,No,No,NA,49
"$50,000+ per year",54000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,43
"$50,000+ per year",77000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,66
"<$50,000 per year",0,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,52
"$50,000+ per year",147000,None,Not employed at this time,NA,No,No,NA,45
"<$50,000 per year",11500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,Yes,38
"$50,000+ per year",84000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"$50,000+ per year",88000,None,Not employed at this time,NA,Yes,No,NA,63
"<$50,000 per year",13000,None,Not employed at this time,NA,Yes,No,NA,70
"$50,000+ per year",217000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,36
"$50,000+ per year",234000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,64
"<$50,000 per year",7000,One or more,Not employed at this time,NA,No,No,NA,25
"<$50,000 per year",27000,One or more,Not employed at this time,NA,No,Yes,NA,51
"$50,000+ per year",98000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,62
"$50,000+ per year",134000,None,Not employed at this time,NA,No,No,NA,60
"$50,000+ per year",97000,None,Employed part-time,Do all of your work from home,Yes,No,No,43
"<$50,000 per year",43000,None,Not employed at this time,NA,Yes,No,NA,61
"$50,000+ per year",98000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,39
"<$50,000 per year",49500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,58
"<$50,000 per year",49000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,64
"$50,000+ per year",110000,None,Employed part-time,Do all of your work at a workplace outside of your home,Don’t know/Refused/Web blank,No,Yes,33
"$50,000+ per year",59000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,55
"$50,000+ per year",196000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,49
"<$50,000 per year",17500,None,Not employed at this time,NA,No,No,NA,53
"<$50,000 per year",45500,One or more,Not employed at this time,NA,Yes,No,NA,41
"$50,000+ per year",125000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,38
"$50,000+ per year",93000,One or more,Not employed at this time,NA,No,Yes,NA,58
"$50,000+ per year",86000,None,Not employed at this time,NA,Yes,No,NA,47
"<$50,000 per year",42500,None,Employed full time,Do all of your work from home,Yes,No,No,47
"<$50,000 per year",27000,None,Not employed at this time,NA,Yes,No,NA,37
"$50,000+ per year",151000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,49
"$50,000+ per year",50000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,40
"<$50,000 per year",35000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,35
"$50,000+ per year",104000,None,Not employed at this time,NA,Yes,No,NA,32
"<$50,000 per year",4500,One or more,Not employed at this time,NA,No,Yes,NA,37
"<$50,000 per year",17500,None,Not employed at this time,NA,Yes,No,NA,37
"$50,000+ per year",121000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,58
"$50,000+ per year",115000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,31
"<$50,000 per year",8000,None,Not employed at this time,NA,Yes,No,NA,50
"<$50,000 per year",36000,One or more,Not employed at this time,NA,Yes,Yes,NA,18
"$50,000+ per year",143000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,34
"$50,000+ per year",67000,None,Employed full time,Do all of your work from home,Yes,No,No,64
"<$50,000 per year",47000,None,Not employed at this time,NA,No,No,NA,45
"$50,000+ per year",950000,None,Not employed at this time,NA,No,No,NA,31
"$50,000+ per year",71000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,66
"$50,000+ per year",98000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,32
"<$50,000 per year",35000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,50
"$50,000+ per year",229000,None,Employed full time,Do all of your work from home,No,No,Yes,18
"<$50,000 per year",41500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,66
"<$50,000 per year",40500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,55
"$50,000+ per year",88000,One or more,Not employed at this time,NA,No,No,NA,35
"<$50,000 per year",35000,One or more,Not employed at this time,NA,No,No,NA,63
"<$50,000 per year",40000,None,Not employed at this time,NA,No,No,NA,34
"<$50,000 per year",41000,One or more,Not employed at this time,NA,Yes,No,NA,25
"$50,000+ per year",202000,None,Not employed at this time,NA,Yes,No,NA,32
"$50,000+ per year",65000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,63
"<$50,000 per year",11500,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,Yes,55
"$50,000+ per year",95000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,29
"<$50,000 per year",10000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,47
"$50,000+ per year",222000,None,Employed full time,Do all of your work from home,No,No,Yes,40
"$50,000+ per year",51000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,42
"<$50,000 per year",45000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,63
"$50,000+ per year",80000,None,Employed full time,Do all of your work from home,Yes,No,Yes,22
"$50,000+ per year",125000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,61
"$50,000+ per year",81000,None,Not employed at this time,NA,Yes,No,NA,70
"$50,000+ per year",198000,None,Not employed at this time,NA,No,No,NA,27
"<$50,000 per year",36500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,23
"$50,000+ per year",52000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,39
"<$50,000 per year",8000,None,Employed full time,Do all of your work from home,Yes,No,Yes,33
"<$50,000 per year",28000,One or more,Not employed at this time,NA,Yes,No,NA,64
"$50,000+ per year",105000,None,Not employed at this time,NA,Yes,No,NA,48
"<$50,000 per year",4500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,46
"<$50,000 per year",7000,One or more,Not employed at this time,NA,No,No,NA,43
"<$50,000 per year",38500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,59
"<$50,000 per year",36000,One or more,Not employed at this time,NA,Yes,Yes,NA,61
"$50,000+ per year",173000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,58
"$50,000+ per year",83000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,45
"$50,000+ per year",135000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,23
"<$50,000 per year",9000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,56
"<$50,000 per year",4000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,18
"$50,000+ per year",140000,None,Not employed at this time,NA,Yes,No,NA,45
"$50,000+ per year",250000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,44
"$50,000+ per year",63000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,40
"<$50,000 per year",3500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,37
"$50,000+ per year",160000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,22
"<$50,000 per year",38500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,41
"$50,000+ per year",179000,One or more,Not employed at this time,NA,Yes,No,NA,32
"$50,000+ per year",76000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,26
"<$50,000 per year",16000,None,Employed full time,Do all of your work from home,Yes,No,No,54
"$50,000+ per year",235000,One or more,Not employed at this time,NA,Yes,No,NA,25
"<$50,000 per year",36500,One or more,Not employed at this time,NA,No,Yes,NA,24
"<$50,000 per year",12500,None,Employed full time,Do all of your work from home,No,No,Yes,59
"$50,000+ per year",450000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,44
"<$50,000 per year",46500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,45
"<$50,000 per year",27000,None,Employed full time,Do all of your work from home,Yes,No,No,45
"<$50,000 per year",40000,One or more,Not employed at this time,NA,Yes,Yes,NA,64
"<$50,000 per year",22500,None,Employed full time,Do all of your work from home,No,No,No,31
"<$50,000 per year",6500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,45
"<$50,000 per year",31000,None,Employed full time,Do all of your work from home,No,No,No,38
"<$50,000 per year",19500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,Yes,No,21
"<$50,000 per year",44500,One or more,Not employed at this time,NA,Yes,Yes,NA,67
"<$50,000 per year",30000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,49
"<$50,000 per year",26000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,70
"<$50,000 per year",30500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,84
"<$50,000 per year",10500,One or more,Not employed at this time,NA,No,No,NA,35
"<$50,000 per year",11000,One or more,Not employed at this time,NA,No,Yes,NA,62
"$50,000+ per year",90000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,49
"$50,000+ per year",217000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,53
"<$50,000 per year",44000,None,Not employed at this time,NA,No,No,NA,19
"<$50,000 per year",20000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,25
"<$50,000 per year",41500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,56
"<$50,000 per year",22500,None,Not employed at this time,NA,No,No,NA,30
"<$50,000 per year",32000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,49
